app_id,release_date,release_price,initial_list_price,discount_percent,currency,release_price_steamspy,avg_playtime,owners_min,owners_max,owners_median,review_count,positive_count,ts_min,ts_max,positive_ratio
22500,2009-02-11,6.99,6.99,0.0,USD,6.99,303,100000.0,200000.0,150000.0,,,,,
33110,2009-05-27,4.99,4.99,0.0,USD,4.99,190,200000.0,500000.0,350000.0,,,,,
18400,2008-06-20,9.99,9.99,0.0,USD,9.99,205,100000.0,200000.0,150000.0,,,,,
6800,2007-03-15,2.49,4.99,50.0,USD,2.49,343,500000.0,1000000.0,750000.0,,,,,
4720,2006-04-11,,,,,3.73,138,200000.0,500000.0,350000.0,,,,,
550,2009-11-16,9.99,9.99,0.0,USD,9.99,2483,50000000.0,100000000.0,75000000.0,,,,,
538100,2019-12-12,12.99,12.99,0.0,USD,12.99,243,100000.0,200000.0,150000.0,80.0,65.0,1576221593.0,1583553384.0,81.25
6000,2009-07-08,9.99,9.99,0.0,USD,9.99,319,1000000.0,2000000.0,1500000.0,,,,,
555950,2017-06-27,4.49,29.99,85.0,USD,4.49,1156,100000.0,200000.0,150000.0,149.0,143.0,1498592673.0,1506282185.0,95.9731543624161
30,2003-05-01,4.99,4.99,0.0,USD,4.99,1080,5000000.0,10000000.0,7500000.0,,,,,
45000,2010-03-15,,,,,0.0,277,50000.0,100000.0,75000.0,,,,,
15120,2008-04-16,2.49,9.99,75.0,USD,2.49,415,500000.0,1000000.0,750000.0,,,,,
31270,2010-07-07,0.99,4.99,80.0,USD,0.99,152,500000.0,1000000.0,750000.0,,,,,
551110,2016-11-04,0.99,1.99,50.0,USD,0.99,135,100000.0,200000.0,150000.0,45.0,40.0,1478290836.0,1485952145.0,88.88888888888889
545580,2016-10-28,4.99,4.99,0.0,USD,4.99,234,100000.0,200000.0,150000.0,11.0,4.0,1478119274.0,1484456796.0,36.36363636363637
280,2004-06-01,9.99,9.99,0.0,USD,9.99,384,2000000.0,5000000.0,3500000.0,,,,,
561600,2017-05-29,19.99,19.99,0.0,USD,19.99,1613,100000.0,200000.0,150000.0,65.0,55.0,1496138388.0,1502801585.0,84.61538461538461
557400,2017-02-01,,,,,0.0,1969,200000.0,500000.0,350000.0,165.0,141.0,1485951519.0,1488323465.0,85.45454545454545
561080,2016-12-22,1.99,1.99,0.0,USD,1.99,30,20000.0,50000.0,35000.0,32.0,31.0,1485121249.0,1488304396.0,96.875
20530,2009-08-05,9.99,9.99,0.0,USD,1.99,159,500000.0,1000000.0,750000.0,,,,,
542200,2017-02-14,9.99,9.99,0.0,USD,9.99,414,0.0,20000.0,10000.0,21.0,21.0,1487127193.0,1491967347.0,100.0
546050,2018-02-27,13.99,19.99,30.0,USD,13.99,1767,500000.0,1000000.0,750000.0,292.0,257.0,1519755809.0,1527430667.0,88.01369863013699
19830,2008-09-25,2.49,9.99,75.0,USD,2.49,560,200000.0,500000.0,350000.0,,,,,
22130,2009-01-23,14.99,14.99,0.0,USD,14.99,860,100000.0,200000.0,150000.0,,,,,
6210,2006-12-21,4.99,4.99,0.0,USD,4.99,58,50000.0,100000.0,75000.0,,,,,
582330,2022-01-20,19.99,19.99,0.0,USD,19.99,1286,20000.0,50000.0,35000.0,,,,,
556860,2017-11-09,4.99,4.99,0.0,USD,4.99,305,20000.0,50000.0,35000.0,14.0,7.0,1510202648.0,1516593649.0,50.0
2100,2006-10-25,9.99,9.99,0.0,USD,9.99,424,1000000.0,2000000.0,1500000.0,,,,,
23400,2008-11-25,9.99,9.99,0.0,USD,9.99,383,200000.0,500000.0,350000.0,,,,,
579180,2018-04-16,39.99,39.99,0.0,USD,39.99,1778,200000.0,500000.0,350000.0,190.0,131.0,1523900285.0,1531514467.0,68.94736842105263
40700,2009-10-16,19.99,19.99,0.0,USD,19.99,238,1000000.0,2000000.0,1500000.0,,,,,
565120,2018-02-19,14.99,14.99,0.0,USD,14.99,114,50000.0,100000.0,75000.0,75.0,57.0,1519129933.0,1525496950.0,76.0
1500,2005-12-01,11.99,11.99,0.0,USD,11.99,67,0.0,20000.0,10000.0,,,,,
562270,2016-12-01,5.99,5.99,0.0,USD,5.99,248,200000.0,500000.0,350000.0,4.0,2.0,1480902540.0,1484538870.0,50.0
33930,2010-06-29,19.99,19.99,0.0,USD,19.99,3805,2000000.0,5000000.0,3500000.0,,,,,
586310,2017-01-28,2.99,2.99,0.0,USD,2.99,11,20000.0,50000.0,35000.0,26.0,24.0,1485636989.0,1489789489.0,92.3076923076923
18420,2008-12-12,9.99,9.99,0.0,USD,9.99,47,50000.0,100000.0,75000.0,,,,,
39640,2010-04-20,4.99,4.99,0.0,USD,4.99,22,50000.0,100000.0,75000.0,,,,,
33770,2011-02-16,19.99,19.99,0.0,USD,19.99,679,50000.0,100000.0,75000.0,6.0,6.0,1297907973.0,1302069581.0,100.0
35700,2009-07-02,14.99,14.99,0.0,USD,14.99,303,2000000.0,5000000.0,3500000.0,,,,,
18040,2010-10-25,2.99,14.99,80.0,USD,2.99,329,100000.0,200000.0,150000.0,44.0,44.0,1288236594.0,1295123208.0,100.0
3020,2007-11-08,9.99,9.99,0.0,USD,9.99,345,500000.0,1000000.0,750000.0,,,,,
589670,2020-08-13,19.99,19.99,0.0,USD,19.99,105,20000.0,50000.0,35000.0,4.0,4.0,1597548134.0,1604025102.0,100.0
15160,2008-06-13,9.99,9.99,0.0,USD,9.99,4705,0.0,20000.0,10000.0,,,,,
546930,2017-05-15,0.99,0.99,0.0,USD,0.99,201,200000.0,500000.0,350000.0,18.0,5.0,1495021639.0,1502336079.0,27.77777777777778
587620,2017-12-12,9.99,19.99,50.0,USD,9.99,630,500000.0,1000000.0,750000.0,912.0,848.0,1513105806.0,1520781602.0,92.98245614035088
566050,2016-12-15,4.99,9.99,50.0,USD,4.99,1668,200000.0,500000.0,350000.0,51.0,47.0,1481833387.0,1488915953.0,92.15686274509804
17740,2008-07-28,,,,,0.0,501,500000.0,1000000.0,750000.0,,,,,
6850,2007-03-15,0.89,8.99,90.0,USD,0.89,199,1000000.0,2000000.0,1500000.0,,,,,
15170,2008-05-13,2.49,9.99,75.0,USD,2.49,919,500000.0,1000000.0,750000.0,,,,,
560170,2017-02-07,5.99,5.99,0.0,USD,5.99,97,50000.0,100000.0,75000.0,70.0,53.0,1486547846.0,1494184838.0,75.71428571428571
16450,2009-02-12,2.99,14.99,80.0,USD,2.99,531,500000.0,1000000.0,750000.0,,,,,
542780,2016-10-21,,,,,0.0,353,50000.0,100000.0,75000.0,,,,,
583470,2017-07-12,14.99,14.99,0.0,USD,14.99,403,100000.0,200000.0,150000.0,496.0,457.0,1499876581.0,1507428471.0,92.13709677419355
15500,2008-07-17,9.99,9.99,0.0,USD,9.99,112,100000.0,200000.0,150000.0,,,,,
17430,2008-12-19,,,,,0.0,856,1000000.0,2000000.0,1500000.0,,,,,
571310,2017-09-22,1.19,19.99,94.0,USD,1.19,310,200000.0,500000.0,350000.0,367.0,359.0,1506072549.0,1513601393.0,97.82016348773843
32400,2009-09-16,5.99,5.99,0.0,USD,5.99,65,200000.0,500000.0,350000.0,,,,,
39520,2014-09-09,9.99,9.99,0.0,USD,9.99,156,100000.0,200000.0,150000.0,9.0,6.0,1410333316.0,1412220695.0,66.66666666666666
11050,2008-08-07,0.99,9.99,90.0,USD,0.99,282,50000.0,100000.0,75000.0,,,,,
25600,2009-02-10,,,,,0.0,218,50000.0,100000.0,75000.0,,,,,
16810,2008-09-23,19.99,19.99,0.0,USD,19.99,410,500000.0,1000000.0,750000.0,,,,,
588120,2022-02-03,,,,,0.0,989,0.0,20000.0,10000.0,,,,,
567680,2017-01-17,0.99,0.99,0.0,USD,0.99,215,500000.0,1000000.0,750000.0,18.0,6.0,1484682893.0,1490206034.0,33.33333333333333
544920,2020-01-13,,,,,0.0,364,1000000.0,2000000.0,1500000.0,49.0,34.0,1579026049.0,1585893640.0,69.38775510204081
25890,2009-08-07,9.99,9.99,0.0,USD,9.99,1325,500000.0,1000000.0,750000.0,,,,,
38450,2009-09-17,14.99,14.99,0.0,USD,14.99,13,20000.0,50000.0,35000.0,,,,,
24240,2011-10-20,4.94,14.99,67.0,USD,4.94,623,2000000.0,5000000.0,3500000.0,372.0,366.0,1319135052.0,1326692516.0,98.38709677419355
23530,2011-12-14,9.99,9.99,0.0,USD,9.99,336,100000.0,200000.0,150000.0,62.0,61.0,1323922575.0,1329611977.0,98.38709677419355
1520,2006-09-29,11.99,11.99,0.0,USD,11.99,168,200000.0,500000.0,350000.0,,,,,
3730,2010-01-15,4.99,4.99,0.0,USD,4.99,130,200000.0,500000.0,350000.0,,,,,
579950,2017-04-18,,,,,0.0,339,200000.0,500000.0,350000.0,236.0,212.0,1492539993.0,1500071686.0,89.83050847457628
592030,2017-07-27,4.99,4.99,0.0,USD,4.99,59,20000.0,50000.0,35000.0,28.0,21.0,1501174055.0,1508705066.0,75.0
544310,2017-03-31,6.99,6.99,0.0,USD,6.99,311,50000.0,100000.0,75000.0,7.0,6.0,1491042608.0,1498327117.0,85.71428571428571
595740,2017-05-23,49.99,49.99,0.0,USD,49.99,373,0.0,20000.0,10000.0,37.0,31.0,1495575656.0,1502436452.0,83.78378378378379
568720,2017-06-14,4.99,4.99,0.0,USD,4.99,0,50000.0,100000.0,75000.0,4.0,2.0,1497743295.0,1500702445.0,50.0
595440,2017-02-17,1.49,29.99,95.0,USD,1.49,222,20000.0,50000.0,35000.0,12.0,12.0,1487369992.0,1491422193.0,100.0
578930,2017-11-07,4.99,4.99,0.0,USD,4.99,373,20000.0,50000.0,35000.0,26.0,26.0,1510065168.0,1517367524.0,100.0
547860,2019-03-29,,,,,0.0,4981,100000.0,200000.0,150000.0,74.0,24.0,1553896220.0,1561344776.0,32.432432432432435
37100,2009-05-07,,,,,0.0,83,50000.0,100000.0,75000.0,,,,,
17440,2008-12-19,4.99,19.99,75.0,USD,4.99,238,200000.0,500000.0,350000.0,,,,,
571740,2023-08-18,8.99,8.99,0.0,USD,8.99,756,1000000.0,2000000.0,1500000.0,,,,,
730,2012-08-21,,,,,0.0,33652,100000000.0,200000000.0,150000000.0,1557.0,1423.0,1345508447.0,1353276886.0,91.39370584457289
34810,2009-10-14,2.99,2.99,0.0,USD,2.99,20,20000.0,50000.0,35000.0,,,,,
539640,2016-10-18,,,,,0.0,14,50000.0,100000.0,75000.0,,,,,
6810,2007-03-15,2.49,4.99,50.0,USD,2.49,194,200000.0,500000.0,350000.0,,,,,
544550,2017-12-12,34.99,34.99,0.0,USD,34.99,1939,200000.0,500000.0,350000.0,604.0,516.0,1513121814.0,1520718776.0,85.43046357615894
566860,2017-04-24,19.99,19.99,0.0,USD,19.99,141,50000.0,100000.0,75000.0,25.0,24.0,1493083075.0,1500748407.0,96.0
10110,2009-07-23,6.59,19.99,67.0,USD,6.59,170,100000.0,200000.0,150000.0,,,,,
573080,2017-08-08,1.99,9.99,80.0,USD,1.99,168,20000.0,50000.0,35000.0,6.0,4.0,1502221078.0,1509317624.0,66.66666666666666
